"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";"Всего";
"Количество спрогнозированных вызовов в день:";"609";"2258";"1818";"1482";"1243";"1006";"658";"9074";
"Среднее время обслуживания вызова в сек. (СВО):";"360";"354";"357";"356";"350";"355";"356";"355";
"Прогнозируемый уровень обслуживания (%SL):";"49,5%";"43,2%";"11,8%";"24%";"18,5%";"41,7%";"41,7%";"32,9%";
"Процент вызовов в день от объема недели:";"6,7%";"24,9%";"20%";"16,3%";"13,7%";"11,1%";"7,3%";"100%";
"";
