"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";"Всего";
"Количество спрогнозированных вызовов в день:";"1379";"3644";"3899";"3979";"4077";"1585";"1122";"19685";
"Среднее время обслуживания вызова в сек. (СВО):";"327";"396";"395";"392";"390";"332";"337";"367";
"Прогнозируемый уровень обслуживания (%SL):";"86,2%";"82,4%";"54,6%";"22%";"78,2%";"51,5%";"43,8%";"59,8%";
"Процент вызовов в день от объема недели:";"7%";"18,5%";"19,8%";"20,2%";"20,7%";"8,1%";"5,7%";"100%";
"";
