"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";"Всего";
"Количество спрогнозированных вызовов в день:";"10010";"18477";"14806";"13382";"12933";"7562";"4988";"82158";
"Среднее время обслуживания вызова в сек. (СВО):";"288";"293";"296";"296";"294";"279";"274";"289";
"Прогнозируемый уровень обслуживания (%SL):";"17%";"4,7%";"2,4%";"12,3%";"17,8%";"68,9%";"81,8%";"29,3%";
"Процент вызовов в день от объема недели:";"12,2%";"22,5%";"18%";"16,3%";"15,7%";"9,2%";"6,1%";"100%";
"";
