"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";"Всего";
"Количество спрогнозированных вызовов в день:";"2077";"3501";"2980";"2620";"2271";"1459";"1205";"16113";
"Среднее время обслуживания вызова в сек. (СВО):";"304";"319";"315";"321";"314";"300";"289";"309";
"Прогнозируемый уровень обслуживания (%SL):";"39,6%";"1,1%";"1,6%";"4,8%";"10,9%";"66,9%";"44,5%";"24,2%";
"Процент вызовов в день от объема недели:";"12,9%";"21,7%";"18,5%";"16,3%";"14,1%";"9,1%";"7,5%";"100%";
"";
