"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";"Всего";
"Количество спрогнозированных вызовов в день:";"11034";"22777";"18565";"16695";"15945";"9975";"5936";"100927";
"Среднее время обслуживания вызова в сек. (СВО):";"292";"298";"301";"300";"298";"286";"284";"294";
"Прогнозируемый уровень обслуживания (%SL):";"19,1%";"10,8%";"3,8%";"13,4%";"18,8%";"65,4%";"76,1%";"29,6%";
"Процент вызовов в день от объема недели:";"10,9%";"22,6%";"18,4%";"16,5%";"15,8%";"9,9%";"5,9%";"100%";
"";
