"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";"Всего";
"Количество спрогнозированных вызовов в день:";"178";"503";"337";"342";"285";"212";"91";"1948";
"Среднее время обслуживания вызова в сек. (СВО):";"293";"300";"313";"324";"337";"279";"283";"304";
"Прогнозируемый уровень обслуживания (%SL):";"82,9%";"28,9%";"41,2%";"63,3%";"40,4%";"74,8%";"81,6%";"59%";
"Процент вызовов в день от объема недели:";"9,1%";"25,8%";"17,3%";"17,6%";"14,6%";"10,9%";"4,7%";"100%";
"";
