"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";"Всего";
"Количество спрогнозированных вызовов в день:";"0";"1500";"1500";"1500";"1500";"0";"0";"6000";
"Среднее время обслуживания вызова в сек. (СВО):";"0";"463";"467";"466";"464";"0";"0";"465";
"Прогнозируемый уровень обслуживания (%SL):";"0%";"85,9%";"76,2%";"10,6%";"84,8%";"0%";"0%";"64,4%";
"Процент вызовов в день от объема недели:";"0%";"25%";"25%";"25%";"25%";"0%";"0%";"100%";
"";
