"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";"Всего";
"Количество спрогнозированных вызовов в день:";"48";"919";"839";"738";"664";"592";"0";"3800";
"Среднее время обслуживания вызова в сек. (СВО):";"272";"261";"263";"267";"261";"256";"0";"263";
"Прогнозируемый уровень обслуживания (%SL):";"49,5%";"3,8%";"3,2%";"18,6%";"22,7%";"69,4%";"0%";"27,8%";
"Процент вызовов в день от объема недели:";"1,3%";"24,2%";"22,1%";"19,4%";"17,5%";"15,6%";"0%";"100%";
"";
