"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";"Всего";
"Количество спрогнозированных вызовов в день:";"7933";"14976";"11826";"10762";"10662";"6103";"3783";"66045";
"Среднее время обслуживания вызова в сек. (СВО):";"284";"287";"291";"289";"289";"274";"269";"283";
"Прогнозируемый уровень обслуживания (%SL):";"11,1%";"5,6%";"2,7%";"14,1%";"19,2%";"69,4%";"93,7%";"30,8%";
"Процент вызовов в день от объема недели:";"12%";"22,7%";"17,9%";"16,3%";"16,1%";"9,2%";"5,7%";"100%";
"";
