"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";"Всего";
"Количество спрогнозированных вызовов в день:";"367";"1123";"1102";"1093";"1105";"815";"290";"5894";
"Среднее время обслуживания вызова в сек. (СВО):";"304";"305";"307";"301";"307";"291";"290";"301";
"Прогнозируемый уровень обслуживания (%SL):";"20,9%";"51,1%";"9,3%";"9,8%";"28%";"59,6%";"55,2%";"33,4%";
"Процент вызовов в день от объема недели:";"6,2%";"19,1%";"18,7%";"18,5%";"18,7%";"13,8%";"4,9%";"100%";
"";
