"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";"Всего";
"Количество спрогнозированных вызовов в день:";"852";"1059";"1214";"1207";"1291";"749";"526";"6898";
"Среднее время обслуживания вызова в сек. (СВО):";"297";"307";"316";"309";"308";"289";"289";"302";
"Прогнозируемый уровень обслуживания (%SL):";"87,4%";"83%";"41,9%";"32%";"75,7%";"50,3%";"46,8%";"59,6%";
"Процент вызовов в день от объема недели:";"12,4%";"15,4%";"17,6%";"17,5%";"18,7%";"10,9%";"7,6%";"100%";
"";
