"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"Всего";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";"Всего";
"Количество спрогнозированных вызовов в день:";"999";"965";"958";"945";"972";"752";"241";"5832";"984";"1050";"1112";"1003";"1091";"778";"288";"6305";
"Среднее время обслуживания вызова в сек. (СВО):";"300";"307";"307";"313";"301";"278";"273";"297";"263";"240";"240";"240";"240";"240";"240";"243";
"Прогнозируемый уровень обслуживания (%SL):";"45,7%";"52,7%";"48%";"35,9%";"34,8%";"42,1%";"62,1%";"45,9%";"45,7%";"42%";"34,6%";"45,9%";"68,6%";"61,3%";"57,7%";"50,8%";
"Процент вызовов в день от объема недели:";"17,1%";"16,5%";"16,4%";"16,2%";"16,7%";"12,9%";"4,1%";"100%";"15,6%";"16,7%";"17,6%";"15,9%";"17,3%";"12,3%";"4,6%";"100%";
"";
