"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"Всего";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";"Всего";
"Количество спрогнозированных вызовов в день:";"1475";"1354";"1409";"1422";"1321";"779";"606";"8366";"1399";"1712";"1710";"1592";"1478";"950";"668";"9509";
"Среднее время обслуживания вызова в сек. (СВО):";"405";"392";"399";"399";"406";"380";"380";"394";"450";"450";"450";"450";"450";"400";"400";"436";
"Прогнозируемый уровень обслуживания (%SL):";"80,2%";"87,7%";"72,7%";"77,4%";"82,1%";"94,9%";"89,4%";"83,5%";"73,6%";"60,2%";"55,5%";"78%";"87,8%";"90%";"79,8%";"75%";
"Процент вызовов в день от объема недели:";"17,6%";"16,2%";"16,8%";"17%";"15,8%";"9,3%";"7,2%";"100%";"14,7%";"18%";"18%";"16,7%";"15,5%";"10%";"7%";"100%";
"";
