"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"Всего";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";"Всего";
"Количество спрогнозированных вызовов в день:";"12927";"12764";"12890";"12233";"12247";"8262";"5008";"76332";"13017";"13812";"14225";"13130";"13266";"8384";"4833";"80667";
"Среднее время обслуживания вызова в сек. (СВО):";"287";"287";"286";"289";"286";"279";"277";"284";"285";"281";"281";"281";"281";"273";"271";"279";
"Прогнозируемый уровень обслуживания (%SL):";"76,1%";"79,8%";"70,3%";"64,4%";"69,3%";"81,9%";"82,5%";"74,9%";"63,8%";"62%";"56,2%";"64,4%";"80,4%";"76,9%";"70,5%";"67,7%";
"Процент вызовов в день от объема недели:";"16,9%";"16,7%";"16,9%";"16%";"16%";"10,8%";"6,6%";"100%";"16,1%";"17,1%";"17,6%";"16,3%";"16,4%";"10,4%";"6%";"100%";
"";
