"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"Всего";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";"Всего";
"Количество спрогнозированных вызовов в день:";"685";"603";"670";"586";"659";"467";"0";"3670";"697";"685";"758";"705";"734";"484";"0";"4063";
"Среднее время обслуживания вызова в сек. (СВО):";"261";"261";"260";"261";"260";"255";"0";"260";"267";"267";"267";"267";"267";"250";"0";"264";
"Прогнозируемый уровень обслуживания (%SL):";"78,8%";"79,7%";"71,6%";"70,4%";"71,9%";"85,4%";"0%";"76,3%";"72,5%";"70,8%";"66,4%";"76,6%";"81,2%";"80,3%";"0%";"74,6%";
"Процент вызовов в день от объема недели:";"18,7%";"16,4%";"18,2%";"16%";"17,9%";"12,7%";"0%";"100%";"17,2%";"16,9%";"18,7%";"17,4%";"18,1%";"11,9%";"0%";"100%";
"";
