"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"Всего";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";"Всего";
"Количество спрогнозированных вызовов в день:";"292";"219";"232";"214";"193";"131";"72";"1353";"275";"313";"275";"254";"259";"168";"79";"1623";
"Среднее время обслуживания вызова в сек. (СВО):";"312";"307";"298";"298";"303";"263";"264";"292";"240";"240";"240";"240";"240";"240";"240";"240";
"Прогнозируемый уровень обслуживания (%SL):";"63,6%";"78,8%";"74,1%";"54,5%";"70,5%";"77,6%";"76,7%";"70,8%";"81,6%";"71%";"62,4%";"74,2%";"86,5%";"76,9%";"73,3%";"75,1%";
"Процент вызовов в день от объема недели:";"21,6%";"16,2%";"17,1%";"15,8%";"14,3%";"9,7%";"5,3%";"100%";"16,9%";"19,3%";"16,9%";"15,6%";"16%";"10,4%";"4,9%";"100%";
"";
