"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"Всего";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";"Всего";
"Количество спрогнозированных вызовов в день:";"3945";"3947";"4119";"4104";"3806";"1392";"1015";"22328";"4155";"4847";"4812";"4581";"4421";"1774";"1185";"25775";
"Среднее время обслуживания вызова в сек. (СВО):";"398";"387";"395";"393";"394";"340";"344";"379";"409";"397";"398";"399";"399";"343";"346";"384";
"Прогнозируемый уровень обслуживания (%SL):";"81,6%";"87,8%";"75%";"77,8%";"85%";"95,6%";"90,7%";"84,8%";"74,1%";"59,5%";"55,7%";"80,9%";"91,2%";"90,3%";"80,7%";"76,1%";
"Процент вызовов в день от объема недели:";"17,7%";"17,7%";"18,4%";"18,4%";"17%";"6,2%";"4,5%";"100%";"16,1%";"18,8%";"18,7%";"17,8%";"17,2%";"6,9%";"4,6%";"100%";
"";
