"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"Всего";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";"Всего";
"Количество спрогнозированных вызовов в день:";"9830";"9909";"9849";"9363";"9364";"6270";"4281";"58866";"9979";"10822";"11047";"10205";"10258";"6425";"4119";"62855";
"Среднее время обслуживания вызова в сек. (СВО):";"278";"278";"277";"278";"278";"273";"270";"276";"281";"279";"279";"279";"279";"271";"266";"276";
"Прогнозируемый уровень обслуживания (%SL):";"82,7%";"83,2%";"73,8%";"69,2%";"74,4%";"87,3%";"85,6%";"79,5%";"66,5%";"63,4%";"57,2%";"67,1%";"82%";"79,7%";"72,2%";"69,7%";
"Процент вызовов в день от объема недели:";"16,7%";"16,8%";"16,7%";"15,9%";"15,9%";"10,7%";"7,3%";"100%";"15,9%";"17,2%";"17,6%";"16,2%";"16,3%";"10,2%";"6,6%";"100%";
"";
