"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"Всего";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";"Всего";
"Количество спрогнозированных вызовов в день:";"1412";"1287";"1414";"1339";"1253";"773";"486";"7964";"1357";"1255";"1308";"1217";"1183";"697";"426";"7443";
"Среднее время обслуживания вызова в сек. (СВО):";"350";"350";"350";"364";"350";"345";"340";"350";"343";"343";"343";"343";"343";"343";"343";"343";
"Прогнозируемый уровень обслуживания (%SL):";"50,3%";"73,9%";"60%";"48,6%";"57%";"74,4%";"64,4%";"61,2%";"52,5%";"61,2%";"59,8%";"49,7%";"76,8%";"66,7%";"62,2%";"61,3%";
"Процент вызовов в день от объема недели:";"17,7%";"16,2%";"17,7%";"16,8%";"15,7%";"9,7%";"6,1%";"100%";"18,2%";"16,9%";"17,6%";"16,4%";"15,9%";"9,4%";"5,7%";"100%";
"";
