"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"Всего";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";"Всего";
"Количество спрогнозированных вызовов в день:";"8080";"8044";"7959";"7709";"7627";"4922";"3310";"47651";"8114";"8686";"8873";"8221";"8316";"5137";"3121";"50469";
"Среднее время обслуживания вызова в сек. (СВО):";"275";"275";"273";"275";"275";"270";"265";"273";"277";"277";"277";"277";"277";"270";"265";"274";
"Прогнозируемый уровень обслуживания (%SL):";"83,9%";"83,9%";"76,2%";"70,2%";"75,8%";"87,8%";"86,6%";"80,6%";"66,5%";"64,6%";"58,1%";"67,7%";"82,4%";"79,1%";"71,5%";"70%";
"Процент вызовов в день от объема недели:";"17%";"16,9%";"16,7%";"16,2%";"16%";"10,3%";"6,9%";"100%";"16,1%";"17,2%";"17,6%";"16,3%";"16,5%";"10,2%";"6,2%";"100%";
"";
