"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"Всего";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";"Всего";
"Количество спрогнозированных вызовов в день:";"1300";"1339";"1522";"1502";"1365";"0";"0";"7028";"1400";"1400";"1400";"1400";"1400";"0";"0";"7000";
"Среднее время обслуживания вызова в сек. (СВО):";"460";"447";"446";"449";"443";"0";"0";"449";"480";"480";"480";"480";"480";"0";"0";"480";
"Прогнозируемый уровень обслуживания (%SL):";"81,5%";"87,7%";"75,9%";"75,7%";"87,1%";"0%";"0%";"81,6%";"72%";"48,1%";"45,9%";"81,8%";"95%";"0%";"0%";"68,6%";
"Процент вызовов в день от объема недели:";"18,5%";"19,1%";"21,7%";"21,4%";"19,4%";"0%";"0%";"100%";"20%";"20%";"20%";"20%";"20%";"0%";"0%";"100%";
"";
