"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"Всего";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";"Всего";
"Количество спрогнозированных вызовов в день:";"1170";"1254";"1188";"1180";"1120";"613";"409";"6935";"1356";"1735";"1702";"1589";"1543";"824";"517";"9266";
"Среднее время обслуживания вызова в сек. (СВО):";"318";"317";"323";"317";"321";"290";"290";"311";"293";"277";"277";"277";"277";"277";"277";"279";
"Прогнозируемый уровень обслуживания (%SL):";"83,4%";"88,2%";"76,7%";"80,9%";"85,8%";"96,6%";"92,7%";"86,3%";"76,7%";"68,1%";"63,9%";"83%";"91,1%";"90,7%";"81,8%";"79,3%";
"Процент вызовов в день от объема недели:";"16,9%";"18,1%";"17,1%";"17%";"16,2%";"8,8%";"5,9%";"100%";"14,6%";"18,7%";"18,4%";"17,1%";"16,7%";"8,9%";"5,6%";"100%";
"";
