"Дата";"Время";"Необходимо";"Фактически";
"06.02.2018";"05:45";"14,11";"11";
"06.02.2018";"06:00";"17,54";"31";
"06.02.2018";"06:15";"19,25";"31";
"06.02.2018";"06:30";"21,53";"31,01";
"06.02.2018";"06:45";"24";"31";
"06.02.2018";"07:00";"28,09";"41";
"06.02.2018";"07:15";"33,32";"36,98";
"06.02.2018";"07:30";"38,69";"46";
"06.02.2018";"07:45";"44,44";"45,85";
"06.02.2018";"08:00";"56,27";"68,77";
"06.02.2018";"08:15";"66,3";"77,38";
"06.02.2018";"08:30";"79,78";"83,2";
"06.02.2018";"08:45";"91,4";"91,86";
"06.02.2018";"09:00";"111,14";"144,91";
"06.02.2018";"09:15";"124";"141,02";
"06.02.2018";"09:30";"134,79";"156,78";
"06.02.2018";"09:45";"142,6";"159,34";
"06.02.2018";"10:00";"148,37";"149,85";
"06.02.2018";"10:15";"153,45";"153,08";
"06.02.2018";"10:30";"156,32";"156,37";
"06.02.2018";"10:45";"155,83";"158,76";
"06.02.2018";"11:00";"157,94";"156,42";
"06.02.2018";"11:15";"160,21";"157,61";
"06.02.2018";"11:30";"161,38";"155,08";
"06.02.2018";"11:45";"160,08";"157,17";
"06.02.2018";"12:00";"157,52";"150,64";
"06.02.2018";"12:15";"157,15";"154,63";
"06.02.2018";"12:30";"155,77";"155,22";
"06.02.2018";"12:45";"155,16";"157,35";
"06.02.2018";"13:00";"153,49";"151,23";
"06.02.2018";"13:15";"152,55";"144,58";
"06.02.2018";"13:30";"153,38";"153,9";
"06.02.2018";"13:45";"151,4";"155,35";
"06.02.2018";"14:00";"150,34";"145,26";
"06.02.2018";"14:15";"149,62";"145,72";
"06.02.2018";"14:30";"146,67";"147,37";
"06.02.2018";"14:45";"145,43";"143,82";
"06.02.2018";"15:00";"143,46";"150,04";
"06.02.2018";"15:15";"142,04";"150,75";
"06.02.2018";"15:30";"139,83";"165,85";
"06.02.2018";"15:45";"138,83";"160,56";
"06.02.2018";"16:00";"134,33";"145,72";
"06.02.2018";"16:15";"133,19";"146,63";
"06.02.2018";"16:30";"130,87";"152,8";
"06.02.2018";"16:45";"126,92";"153,66";
"06.02.2018";"17:00";"125,52";"138,02";
"06.02.2018";"17:15";"119,72";"131,75";
"06.02.2018";"17:30";"116,13";"125,43";
"06.02.2018";"17:45";"110,47";"125,67";
"06.02.2018";"18:00";"104,29";"85,12";
"06.02.2018";"18:15";"98,3";"85,54";
"06.02.2018";"18:30";"90,72";"73,69";
"06.02.2018";"18:45";"84,74";"70,03";
"06.02.2018";"19:00";"70,97";"66,47";
"06.02.2018";"19:15";"67,17";"67,16";
