"Дата";"Время";"Необходимо";"Фактически";
"06.02.2018";"04:45";"0,61";"0,14";
"06.02.2018";"05:00";"0,74";"1,09";
"06.02.2018";"05:15";"1,07";"1,08";
"06.02.2018";"05:30";"1,09";"1,07";
"06.02.2018";"05:45";"1,41";"1,2";
"06.02.2018";"06:00";"2,18";"3,01";
"06.02.2018";"06:15";"2,43";"3,29";
"06.02.2018";"06:30";"2,43";"3,54";
"06.02.2018";"06:45";"2,68";"3,79";
"06.02.2018";"07:00";"3,4";"3,96";
"06.02.2018";"07:15";"3,63";"4";
"06.02.2018";"07:30";"4,2";"4,81";
"06.02.2018";"07:45";"4,83";"4,89";
"06.02.2018";"08:00";"6,2";"7,29";
"06.02.2018";"08:15";"7,34";"8,06";
"06.02.2018";"08:30";"9,25";"9,08";
"06.02.2018";"08:45";"10,72";"10,8";
"06.02.2018";"09:00";"12,16";"14,62";
"06.02.2018";"09:15";"13,62";"14,56";
"06.02.2018";"09:30";"14,97";"15,78";
"06.02.2018";"09:45";"15,5";"17,13";
"06.02.2018";"10:00";"15,81";"16,07";
"06.02.2018";"10:15";"15,93";"16,45";
"06.02.2018";"10:30";"15,93";"16,13";
"06.02.2018";"10:45";"15,66";"16,45";
"06.02.2018";"11:00";"15,58";"15,67";
"06.02.2018";"11:15";"15,59";"15,05";
"06.02.2018";"11:30";"15,24";"15,42";
"06.02.2018";"11:45";"15,28";"15,27";
"06.02.2018";"12:00";"14,91";"15,1";
"06.02.2018";"12:15";"14,95";"15,54";
"06.02.2018";"12:30";"14,97";"15,74";
"06.02.2018";"12:45";"14,77";"15,17";
"06.02.2018";"13:00";"14,75";"15,29";
"06.02.2018";"13:15";"14,42";"14,29";
"06.02.2018";"13:30";"14,41";"15,71";
"06.02.2018";"13:45";"14,06";"14,79";
"06.02.2018";"14:00";"14,23";"13,91";
"06.02.2018";"14:15";"14,16";"14,57";
"06.02.2018";"14:30";"13,77";"14,28";
"06.02.2018";"14:45";"13,63";"13,9";
"06.02.2018";"15:00";"13,41";"14,87";
"06.02.2018";"15:15";"13,12";"14,55";
"06.02.2018";"15:30";"12,25";"13,14";
"06.02.2018";"15:45";"11,94";"12,9";
"06.02.2018";"16:00";"11,39";"11,69";
"06.02.2018";"16:15";"11,08";"12,67";
"06.02.2018";"16:30";"11,04";"11,82";
"06.02.2018";"16:45";"11,02";"12,42";
"06.02.2018";"17:00";"10,19";"10,63";
"06.02.2018";"17:15";"9,94";"10,31";
"06.02.2018";"17:30";"9,43";"9,84";
"06.02.2018";"17:45";"8,99";"9,74";
"06.02.2018";"18:00";"8,58";"7,91";
"06.02.2018";"18:15";"8,6";"7,39";
"06.02.2018";"18:30";"8,26";"6,66";
"06.02.2018";"18:45";"7,68";"6,34";
"06.02.2018";"19:00";"7,01";"7,04";
"06.02.2018";"19:15";"6,7";"7,69";
"06.02.2018";"19:30";"6,44";"6,42";
"06.02.2018";"19:45";"6,09";"5,86";
"06.02.2018";"20:00";"5,68";"6,95";
"06.02.2018";"20:15";"5,26";"5,52";
"06.02.2018";"20:30";"5,06";"5,56";
"06.02.2018";"20:45";"4,6";"6,15";
"06.02.2018";"21:00";"4,34";"4,65";
"06.02.2018";"21:15";"3,85";"4,41";
"06.02.2018";"21:30";"3,3";"4,15";
"06.02.2018";"21:45";"3,04";"3,74";
"06.02.2018";"22:00";"2,97";"3,28";
"06.02.2018";"22:15";"2,7";"3,3";
"06.02.2018";"22:30";"2,45";"3,67";
"06.02.2018";"22:45";"1,91";"3,07";
"06.02.2018";"23:00";"2,06";"2,92";
"06.02.2018";"23:15";"1,8";"3,05";
"06.02.2018";"23:30";"1,73";"3,21";
"06.02.2018";"23:45";"1,69";"2,92";
"07.02.2018";"00:00";"0,73";"0,67";
"07.02.2018";"00:15";"0,77";"0,61";
"07.02.2018";"00:30";"0,8";"0,6";
"07.02.2018";"00:45";"0,75";"0,49";
"07.02.2018";"01:00";"0,88";"0,55";
"07.02.2018";"01:15";"0,92";"0,37";
"07.02.2018";"01:30";"0,54";"0,45";
"07.02.2018";"01:45";"0,51";"0,61";
"07.02.2018";"02:00";"0,6";"0,56";
"07.02.2018";"02:15";"0,59";"0,53";
"07.02.2018";"02:30";"0,49";"0,66";
"07.02.2018";"02:45";"0,41";"0,31";
"07.02.2018";"03:00";"0,43";"0,3";
"07.02.2018";"03:15";"0,44";"0,27";
"07.02.2018";"03:30";"0,47";"0,32";
"07.02.2018";"03:45";"0,41";"0,34";
"07.02.2018";"04:00";"0,42";"0,37";
"07.02.2018";"04:15";"0,41";"0,34";
"07.02.2018";"04:30";"0,42";"0,32";
"07.02.2018";"04:45";"0,76";"0,36";
"07.02.2018";"05:00";"0,71";"1,21";
"07.02.2018";"05:15";"1,05";"1,54";
"07.02.2018";"05:30";"1,47";"1,7";
"07.02.2018";"05:45";"1,65";"1,63";
"07.02.2018";"06:00";"2,04";"3,62";
"07.02.2018";"06:15";"2,33";"2,88";
"07.02.2018";"06:30";"2,34";"2,43";
"07.02.2018";"06:45";"2,64";"2,6";
"07.02.2018";"07:00";"3,32";"3,75";
"07.02.2018";"07:15";"3,58";"3,75";
"07.02.2018";"07:30";"4,33";"4,55";
"07.02.2018";"07:45";"5,06";"4,69";
"07.02.2018";"08:00";"6,45";"7,48";
"07.02.2018";"08:15";"7,71";"8,95";
"07.02.2018";"08:30";"9,08";"8,72";
"07.02.2018";"08:45";"10,82";"9,56";
"07.02.2018";"09:00";"12,1";"13,21";
"07.02.2018";"09:15";"13,55";"14,77";
"07.02.2018";"09:30";"14,84";"15,29";
"07.02.2018";"09:45";"15,46";"16,35";
"07.02.2018";"10:00";"15,84";"14,46";
"07.02.2018";"10:15";"16,52";"15,84";
"07.02.2018";"10:30";"16,47";"16,46";
"07.02.2018";"10:45";"16,01";"15,95";
"07.02.2018";"11:00";"15,97";"15,33";
"07.02.2018";"11:15";"15,81";"15,4";
"07.02.2018";"11:30";"15,76";"14,76";
"07.02.2018";"11:45";"15,63";"15,6";
"07.02.2018";"12:00";"15,11";"15,15";
"07.02.2018";"12:15";"15,06";"14,85";
"07.02.2018";"12:30";"14,62";"14,58";
"07.02.2018";"12:45";"13,99";"13,89";
"07.02.2018";"13:00";"13,59";"12,77";
"07.02.2018";"13:15";"13,38";"12,58";
"07.02.2018";"13:30";"13,21";"13,62";
"07.02.2018";"13:45";"13,18";"12,67";
"07.02.2018";"14:00";"13,22";"12,37";
"07.02.2018";"14:15";"13,1";"12,3";
"07.02.2018";"14:30";"12,96";"13,71";
"07.02.2018";"14:45";"12,84";"13,05";
"07.02.2018";"15:00";"12,8";"13,06";
"07.02.2018";"15:15";"12,48";"12,77";
"07.02.2018";"15:30";"12,51";"12,3";
"07.02.2018";"15:45";"12,09";"11,69";
"07.02.2018";"16:00";"11,48";"11,33";
"07.02.2018";"16:15";"11,37";"11,79";
"07.02.2018";"16:30";"10,99";"11,22";
"07.02.2018";"16:45";"10,95";"10,83";
"07.02.2018";"17:00";"10,64";"10,22";
"07.02.2018";"17:15";"10,34";"10,45";
"07.02.2018";"17:30";"10,1";"10,45";
"07.02.2018";"17:45";"9,9";"9,72";
"07.02.2018";"18:00";"9,25";"7,51";
"07.02.2018";"18:15";"9,47";"6,75";
"07.02.2018";"18:30";"9,25";"4,23";
"07.02.2018";"18:45";"8,96";"3,95";
"07.02.2018";"19:00";"8,59";"4,42";
"07.02.2018";"19:15";"8,06";"5,82";
"07.02.2018";"19:30";"7,98";"5,74";
"07.02.2018";"19:45";"7,53";"6,4";
"07.02.2018";"20:00";"7,21";"4,36";
"07.02.2018";"20:15";"6,96";"4,24";
"07.02.2018";"20:30";"6,42";"3,66";
"07.02.2018";"20:45";"5,95";"5,76";
"07.02.2018";"21:00";"5,32";"4,56";
"07.02.2018";"21:15";"4,7";"4,2";
"07.02.2018";"21:30";"4,29";"4,47";
"07.02.2018";"21:45";"3,54";"5,33";
"07.02.2018";"22:00";"2,88";"3,35";
"07.02.2018";"22:15";"2,61";"3,56";
"07.02.2018";"22:30";"2,3";"3,65";
"07.02.2018";"22:45";"1,63";"3,3";
"07.02.2018";"23:00";"1,8";"2,04";
"07.02.2018";"23:15";"1,82";"2,3";
"07.02.2018";"23:30";"1,5";"1,84";
"07.02.2018";"23:45";"1,51";"1,8";
"08.02.2018";"00:00";"1,03";"0,53";
"08.02.2018";"00:15";"1,01";"0,71";
"08.02.2018";"00:30";"1,04";"0,8";
"08.02.2018";"00:45";"0,89";"0,76";
"08.02.2018";"01:00";"1,03";"0,52";
"08.02.2018";"01:15";"0,98";"0,68";
"08.02.2018";"01:30";"0,96";"0,72";
"08.02.2018";"01:45";"0,51";"0,68";
"08.02.2018";"02:00";"0,46";"0,53";
"08.02.2018";"02:15";"0,49";"0,42";
"08.02.2018";"02:30";"0,49";"0,46";
"08.02.2018";"02:45";"0,4";"0,41";
"08.02.2018";"03:00";"0,49";"0,29";
"08.02.2018";"03:15";"0,51";"0,51";
"08.02.2018";"03:30";"0,49";"0,22";
"08.02.2018";"03:45";"0,44";"0,47";
"08.02.2018";"04:00";"0,43";"0,27";
