"Дата";"Время";"Необходимо";"Фактически";
"06.02.2018";"05:00";"7,84";"8,98";
"06.02.2018";"05:15";"9,4";"8,83";
"06.02.2018";"05:30";"10,56";"9,03";
"06.02.2018";"05:45";"12,44";"10,13";
"06.02.2018";"06:00";"14,8";"24,34";
"06.02.2018";"06:15";"16,35";"23,19";
"06.02.2018";"06:30";"17,8";"23,29";
"06.02.2018";"06:45";"19,73";"23,82";
"06.02.2018";"07:00";"22,16";"29,36";
"06.02.2018";"07:15";"24,65";"26,69";
"06.02.2018";"07:30";"28,7";"32,89";
"06.02.2018";"07:45";"32,77";"33,46";
"06.02.2018";"08:00";"41,58";"50,13";
"06.02.2018";"08:15";"49,38";"54,57";
"06.02.2018";"08:30";"59,87";"61,37";
"06.02.2018";"08:45";"69,72";"69,37";
"06.02.2018";"09:00";"80,37";"94,28";
"06.02.2018";"09:15";"89,61";"93,26";
"06.02.2018";"09:30";"97,51";"101,04";
"06.02.2018";"09:45";"101,78";"106,34";
"06.02.2018";"10:00";"104,29";"103,68";
"06.02.2018";"10:15";"106,82";"105,55";
"06.02.2018";"10:30";"107,03";"103,98";
"06.02.2018";"10:45";"105,4";"106,82";
"06.02.2018";"11:00";"104,92";"101,15";
"06.02.2018";"11:15";"104,92";"102,42";
"06.02.2018";"11:30";"103,85";"101,63";
"06.02.2018";"11:45";"103,69";"102,7";
"06.02.2018";"12:00";"101,59";"97,93";
"06.02.2018";"12:15";"100,77";"100,46";
"06.02.2018";"12:30";"101,94";"100,75";
"06.02.2018";"12:45";"99,96";"100,92";
"06.02.2018";"13:00";"99,17";"97,23";
"06.02.2018";"13:15";"97,96";"94,45";
"06.02.2018";"13:30";"97,87";"100,32";
"06.02.2018";"13:45";"96,89";"98,76";
"06.02.2018";"14:00";"96,4";"93,44";
"06.02.2018";"14:15";"95,46";"92,34";
"06.02.2018";"14:30";"93,78";"93,78";
"06.02.2018";"14:45";"92,44";"93,23";
"06.02.2018";"15:00";"91,37";"97,49";
"06.02.2018";"15:15";"90,08";"95,95";
"06.02.2018";"15:30";"89";"99,37";
"06.02.2018";"15:45";"85,68";"91,6";
"06.02.2018";"16:00";"83,61";"84,72";
"06.02.2018";"16:15";"82,44";"89,05";
"06.02.2018";"16:30";"80,94";"87,86";
"06.02.2018";"16:45";"79,24";"87,71";
"06.02.2018";"17:00";"76,59";"79,79";
"06.02.2018";"17:15";"73,89";"76,2";
"06.02.2018";"17:30";"71,58";"74,51";
"06.02.2018";"17:45";"68,64";"71,93";
"06.02.2018";"18:00";"64,9";"53,99";
"06.02.2018";"18:15";"62,35";"53,44";
"06.02.2018";"18:30";"59,48";"47,13";
"06.02.2018";"18:45";"56,57";"47,55";
"06.02.2018";"19:00";"51,88";"49,63";
"06.02.2018";"19:15";"48,81";"49,45";
"06.02.2018";"19:30";"46,26";"43,28";
"06.02.2018";"19:45";"43,17";"41,67";
"06.02.2018";"20:00";"39,18";"39,6";
"06.02.2018";"20:15";"35,88";"36,39";
"06.02.2018";"20:30";"33,16";"35,41";
"06.02.2018";"20:45";"29,51";"34,97";
"06.02.2018";"21:00";"27,34";"26,72";
"06.02.2018";"21:15";"24,59";"27";
"06.02.2018";"21:30";"21,7";"25,22";
"06.02.2018";"21:45";"19,95";"23,26";
"06.02.2018";"22:00";"17,74";"17,41";
"06.02.2018";"22:15";"15,79";"16,33";
"06.02.2018";"22:30";"14,72";"16,24";
"06.02.2018";"22:45";"11,63";"15,77";
"06.02.2018";"23:00";"10,81";"12,34";
"06.02.2018";"23:15";"10,14";"12,57";
"06.02.2018";"23:30";"9,83";"12,69";
"06.02.2018";"23:45";"9,7";"13,26";
"07.02.2018";"00:00";"5,34";"4,01";
"07.02.2018";"00:15";"5,32";"4";
"07.02.2018";"00:30";"4,95";"4,01";
"07.02.2018";"00:45";"4,63";"2,99";
"07.02.2018";"01:00";"5,08";"3";
"07.02.2018";"01:15";"4,77";"3";
"07.02.2018";"01:30";"3,88";"3,01";
"07.02.2018";"01:45";"3,65";"4";
"07.02.2018";"02:00";"3,71";"4,01";
"07.02.2018";"02:15";"3,7";"4";
"07.02.2018";"02:30";"3,65";"4,01";
"07.02.2018";"02:45";"4,05";"3";
"07.02.2018";"03:00";"4,43";"3,01";
"07.02.2018";"03:15";"4,74";"2,98";
"07.02.2018";"03:30";"4,57";"3,02";
"07.02.2018";"03:45";"4,83";"4";
"07.02.2018";"04:00";"5,12";"3,99";
"07.02.2018";"04:15";"5,19";"4,01";
"07.02.2018";"04:30";"5,56";"3,99";
"07.02.2018";"04:45";"6,27";"3,01";
"07.02.2018";"05:00";"8,32";"9,82";
"07.02.2018";"05:15";"9,43";"9,34";
"07.02.2018";"05:30";"10,8";"9,88";
"07.02.2018";"05:45";"12,38";"10,59";
"07.02.2018";"06:00";"14,46";"16,88";
"07.02.2018";"06:15";"16,18";"16,45";
"07.02.2018";"06:30";"17,09";"14,85";
"07.02.2018";"06:45";"19,27";"16,77";
"07.02.2018";"07:00";"22,08";"23,61";
"07.02.2018";"07:15";"24,95";"25,6";
"07.02.2018";"07:30";"29,46";"30,04";
"07.02.2018";"07:45";"33,55";"30,34";
"07.02.2018";"08:00";"41,81";"52,83";
"07.02.2018";"08:15";"50,45";"54,08";
"07.02.2018";"08:30";"60,25";"59,07";
