"Дата";"Время";"Необходимо";"Фактически";
"06.02.2018";"06:00";"1,84";"6,26";
"06.02.2018";"06:15";"2,08";"7,41";
"06.02.2018";"06:30";"2,7";"7,11";
"06.02.2018";"06:45";"3,33";"6,72";
"06.02.2018";"07:00";"4,16";"8,82";
"06.02.2018";"07:15";"5,38";"6,82";
"06.02.2018";"07:30";"5,77";"8,38";
"06.02.2018";"07:45";"6,83";"7,56";
"06.02.2018";"08:00";"7,99";"11,51";
"06.02.2018";"08:15";"8,68";"12,7";
"06.02.2018";"08:30";"9,64";"11,13";
"06.02.2018";"08:45";"10,46";"12,37";
"06.02.2018";"09:00";"11,07";"20,61";
"06.02.2018";"09:15";"11,58";"17,88";
"06.02.2018";"09:30";"12,55";"20,58";
"06.02.2018";"09:45";"12,89";"18,4";
"06.02.2018";"10:00";"13,31";"14,78";
"06.02.2018";"10:15";"13,46";"15,62";
"06.02.2018";"10:30";"14,01";"15,78";
"06.02.2018";"10:45";"14,23";"15,76";
"06.02.2018";"11:00";"14,04";"15,39";
"06.02.2018";"11:15";"14,28";"15,26";
"06.02.2018";"11:30";"14,41";"14,58";
"06.02.2018";"11:45";"14,39";"14,18";
"06.02.2018";"12:00";"14,81";"14,2";
"06.02.2018";"12:15";"14,67";"15,34";
"06.02.2018";"12:30";"14,41";"14,98";
"06.02.2018";"12:45";"14,87";"15,16";
"06.02.2018";"13:00";"14,48";"15,09";
"06.02.2018";"13:15";"14,1";"13,76";
"06.02.2018";"13:30";"13,89";"14,03";
"06.02.2018";"13:45";"13,8";"15,1";
"06.02.2018";"14:00";"13,51";"13,92";
"06.02.2018";"14:15";"13,39";"14,18";
"06.02.2018";"14:30";"13,38";"14,1";
"06.02.2018";"14:45";"13,41";"13,82";
"06.02.2018";"15:00";"13,44";"13,66";
"06.02.2018";"15:15";"13,39";"14,99";
"06.02.2018";"15:30";"12,68";"17,4";
"06.02.2018";"15:45";"13,59";"18,49";
"06.02.2018";"16:00";"13,21";"16,04";
"06.02.2018";"16:15";"13,13";"15,76";
"06.02.2018";"16:30";"12,71";"16,5";
"06.02.2018";"16:45";"12,17";"16,89";
