"Дата";"Время";"Необходимо";"Фактически";
"06.02.2018";"04:45";"0,94";"0,44";
"06.02.2018";"05:00";"1,41";"0,66";
"06.02.2018";"05:15";"1,35";"1,08";
"06.02.2018";"05:30";"1,5";"0,6";
"06.02.2018";"05:45";"1,43";"0,78";
"06.02.2018";"06:00";"1,84";"2,19";
"06.02.2018";"06:15";"1,77";"1,92";
"06.02.2018";"06:30";"1,71";"1,78";
"06.02.2018";"06:45";"2,14";"1,7";
"06.02.2018";"07:00";"1,99";"1,87";
"06.02.2018";"07:15";"2,3";"1,78";
"06.02.2018";"07:30";"2,58";"2,16";
"06.02.2018";"07:45";"2,71";"1,89";
"06.02.2018";"08:00";"3,57";"3,43";
"06.02.2018";"08:15";"3,81";"2,99";
"06.02.2018";"08:30";"4,81";"3,32";
"06.02.2018";"08:45";"5,7";"4,08";
"06.02.2018";"09:00";"6,54";"7,41";
"06.02.2018";"09:15";"7,49";"5,45";
"06.02.2018";"09:30";"8,37";"6,66";
"06.02.2018";"09:45";"9,27";"7,11";
"06.02.2018";"10:00";"10,06";"8,16";
"06.02.2018";"10:15";"10,37";"8,22";
"06.02.2018";"10:30";"11,16";"8,09";
"06.02.2018";"10:45";"10,79";"8,66";
"06.02.2018";"11:00";"10,96";"8,03";
"06.02.2018";"11:15";"10,83";"8,67";
"06.02.2018";"11:30";"10,89";"8,33";
"06.02.2018";"11:45";"10,54";"8,54";
"06.02.2018";"12:00";"10,56";"7,59";
"06.02.2018";"12:15";"10,72";"8,53";
"06.02.2018";"12:30";"10,29";"7,96";
"06.02.2018";"12:45";"10,08";"8,58";
"06.02.2018";"13:00";"10,22";"8,02";
"06.02.2018";"13:15";"10,23";"7,6";
"06.02.2018";"13:30";"10,21";"8,65";
"06.02.2018";"13:45";"10,34";"8,16";
"06.02.2018";"14:00";"10,48";"7,69";
"06.02.2018";"14:15";"10,49";"8,08";
"06.02.2018";"14:30";"10,39";"7,79";
"06.02.2018";"14:45";"10,43";"8,38";
"06.02.2018";"15:00";"9,94";"9,12";
"06.02.2018";"15:15";"10";"8,91";
"06.02.2018";"15:30";"9,98";"9,54";
"06.02.2018";"15:45";"9,5";"8,48";
"06.02.2018";"16:00";"9,3";"7,45";
"06.02.2018";"16:15";"9,57";"8,83";
"06.02.2018";"16:30";"9,21";"8,55";
"06.02.2018";"16:45";"9,02";"8,72";
"06.02.2018";"17:00";"9,23";"8,01";
"06.02.2018";"17:15";"8,85";"6,47";
"06.02.2018";"17:30";"8,65";"6,65";
"06.02.2018";"17:45";"8,39";"6,07";
"06.02.2018";"18:00";"8,21";"5,36";
"06.02.2018";"18:15";"7,82";"4,95";
"06.02.2018";"18:30";"7,56";"4,46";
"06.02.2018";"18:45";"7,17";"4,93";
"06.02.2018";"19:00";"6,8";"4,12";
"06.02.2018";"19:15";"6,53";"3,79";
"06.02.2018";"19:30";"6,19";"3,9";
"06.02.2018";"19:45";"5,34";"3,38";
"06.02.2018";"20:00";"4,83";"3,03";
"06.02.2018";"20:15";"4,47";"2,78";
"06.02.2018";"20:30";"4,03";"2,53";
"06.02.2018";"20:45";"3,49";"2,64";
"06.02.2018";"21:00";"3,62";"1,79";
"06.02.2018";"21:15";"3,14";"1,72";
"06.02.2018";"21:30";"2,51";"1,63";
"06.02.2018";"21:45";"2,44";"1,62";
"06.02.2018";"22:00";"2,01";"1,14";
"06.02.2018";"22:15";"2,05";"0,91";
"06.02.2018";"22:30";"2,12";"1,1";
"06.02.2018";"22:45";"1,49";"0,99";
"06.02.2018";"23:00";"1,51";"0,7";
"06.02.2018";"23:15";"1,38";"0,92";
"06.02.2018";"23:30";"1,37";"0,77";
"06.02.2018";"23:45";"1,38";"0,81";
