"Дата";"Время";"Необходимо";"Фактически";
"06.02.2018";"06:00";"1,84";"6,26";
"06.02.2018";"06:15";"2,08";"7,41";
"06.02.2018";"06:30";"2,7";"7,11";
"06.02.2018";"06:45";"3,33";"6,72";
"06.02.2018";"07:00";"5,33";"10,87";
"06.02.2018";"07:15";"7,53";"9,13";
"06.02.2018";"07:30";"8,56";"11,88";
"06.02.2018";"07:45";"10,59";"11,22";
"06.02.2018";"08:00";"12,82";"16,71";
"06.02.2018";"08:15";"14,56";"20,01";
"06.02.2018";"08:30";"17,1";"19,6";
"06.02.2018";"08:45";"19,15";"21,16";
"06.02.2018";"09:00";"27,04";"45,65";
"06.02.2018";"09:15";"30,34";"44,22";
"06.02.2018";"09:30";"34,14";"52,73";
"06.02.2018";"09:45";"37,03";"49,81";
"06.02.2018";"10:00";"39,48";"42,57";
"06.02.2018";"10:15";"42,2";"44,32";
"06.02.2018";"10:30";"44,96";"49";
"06.02.2018";"10:45";"46,5";"48,69";
"06.02.2018";"11:00";"48,94";"51,83";
"06.02.2018";"11:15";"50,6";"51,38";
"06.02.2018";"11:30";"51,76";"49,79";
"06.02.2018";"11:45";"51,77";"50,22";
"06.02.2018";"12:00";"51,46";"48,77";
"06.02.2018";"12:15";"51,54";"50,01";
"06.02.2018";"12:30";"50,7";"50,71";
"06.02.2018";"12:45";"50,97";"51,97";
"06.02.2018";"13:00";"50,43";"49,86";
"06.02.2018";"13:15";"49,83";"47,64";
"06.02.2018";"13:30";"50,2";"48,14";
"06.02.2018";"13:45";"50,3";"51,89";
"06.02.2018";"14:00";"50,18";"47,92";
"06.02.2018";"14:15";"49,73";"49,69";
"06.02.2018";"14:30";"49,17";"49,31";
"06.02.2018";"14:45";"48,82";"46,35";
"06.02.2018";"15:00";"48,95";"47,54";
"06.02.2018";"15:15";"48,02";"48,85";
"06.02.2018";"15:30";"46,83";"60,52";
"06.02.2018";"15:45";"48,6";"62,89";
"06.02.2018";"16:00";"47,87";"57,27";
"06.02.2018";"16:15";"47,67";"53,29";
"06.02.2018";"16:30";"46,53";"60,66";
"06.02.2018";"16:45";"45,53";"61,83";
