"Дата";"Время";"Необходимо";"Фактически";
"06.02.2018";"10:15";"5,63";"4,67";
"06.02.2018";"10:30";"5,67";"4,76";
"06.02.2018";"10:45";"5,94";"5,37";
"06.02.2018";"11:00";"5,94";"5,19";
"06.02.2018";"11:15";"6,26";"5,33";
"06.02.2018";"11:30";"6,2";"5,29";
"06.02.2018";"11:45";"6,46";"5,69";
"06.02.2018";"12:00";"6,41";"5,54";
"06.02.2018";"12:15";"6,57";"5,85";
"06.02.2018";"12:30";"6,02";"5,2";
"06.02.2018";"12:45";"5,81";"5,3";
"06.02.2018";"13:00";"5,66";"4,95";
"06.02.2018";"13:15";"5,36";"4,83";
"06.02.2018";"13:30";"5,44";"4,97";
"06.02.2018";"13:45";"5,4";"4,88";
"06.02.2018";"14:00";"5,37";"4,71";
"06.02.2018";"14:15";"5,56";"4,71";
"06.02.2018";"14:30";"5,49";"4,94";
"06.02.2018";"14:45";"5,26";"4,77";
"06.02.2018";"15:00";"5,23";"5,22";
"06.02.2018";"15:15";"5,26";"4,88";
"06.02.2018";"15:30";"5,42";"4,99";
"06.02.2018";"15:45";"4,36";"4,14";
"06.02.2018";"16:00";"4,33";"3,93";
"06.02.2018";"16:15";"4,05";"3,63";
"06.02.2018";"16:30";"4,23";"3,74";
"06.02.2018";"16:45";"3,94";"3,75";
"06.02.2018";"17:00";"3,46";"3,12";
"06.02.2018";"17:15";"3,32";"2,82";
"06.02.2018";"17:30";"3,14";"2,87";
"06.02.2018";"17:45";"2,85";"2,88";
"06.02.2018";"18:00";"2,92";"1,88";
"06.02.2018";"18:15";"2,87";"2,29";
"06.02.2018";"18:30";"2,83";"1,86";
"06.02.2018";"18:45";"2,6";"1,98";
"06.02.2018";"19:00";"2,32";"1,94";
"06.02.2018";"19:15";"2,03";"1,82";
"06.02.2018";"19:30";"1,42";"1,15";
"06.02.2018";"19:45";"1,17";"1,08";
"06.02.2018";"20:00";"0,51";"0,59";
"06.02.2018";"20:15";"0,35";"0,26";
"06.02.2018";"20:30";"0,25";"0,22";
"06.02.2018";"20:45";"0";"0,01";
"06.02.2018";"21:00";"0";"0";
"06.02.2018";"21:15";"0";"0";
"06.02.2018";"21:30";"0";"0";
"06.02.2018";"21:45";"0";"0";
"06.02.2018";"22:00";"0";"0";
"06.02.2018";"22:15";"0";"0";
"06.02.2018";"22:30";"0";"0";
"06.02.2018";"22:45";"0";"0";
"06.02.2018";"23:00";"0";"0";
"06.02.2018";"23:15";"0";"0";
"06.02.2018";"23:30";"0";"0";
"06.02.2018";"23:45";"0";"0";
"07.02.2018";"00:00";"0";"0";
"07.02.2018";"00:15";"0";"0";
"07.02.2018";"00:30";"0";"0";
"07.02.2018";"00:45";"0";"0";
"07.02.2018";"01:00";"0";"0";
"07.02.2018";"01:15";"0";"0";
"07.02.2018";"01:30";"0";"0";
"07.02.2018";"01:45";"0";"0";
"07.02.2018";"02:00";"0";"0";
"07.02.2018";"02:15";"0";"0";
"07.02.2018";"02:30";"0";"0";
"07.02.2018";"02:45";"0,5";"0,27";
"07.02.2018";"03:00";"0,68";"0,31";
"07.02.2018";"03:15";"0,69";"0,36";
"07.02.2018";"03:30";"0,73";"0,26";
"07.02.2018";"03:45";"0,68";"0,46";
"07.02.2018";"04:00";"0,65";"0,39";
"07.02.2018";"04:15";"0,66";"0,4";
"07.02.2018";"04:30";"0,64";"0,37";
"07.02.2018";"04:45";"0,53";"0,22";
"07.02.2018";"05:00";"0,63";"0,65";
"07.02.2018";"05:15";"0,5";"0,33";
"07.02.2018";"05:30";"0,53";"0,59";
"07.02.2018";"05:45";"0,81";"0,63";
"07.02.2018";"06:00";"0,94";"0,91";
"07.02.2018";"06:15";"1,31";"1,44";
"07.02.2018";"06:30";"1,42";"1";
"07.02.2018";"06:45";"1,28";"1,05";
"07.02.2018";"07:00";"1,73";"1,56";
"07.02.2018";"07:15";"1,64";"1,32";
"07.02.2018";"07:30";"2,06";"1,87";
"07.02.2018";"07:45";"2,02";"1,56";
"07.02.2018";"08:00";"2,47";"2,91";
"07.02.2018";"08:15";"2,58";"2,74";
"07.02.2018";"08:30";"3,33";"2,73";
"07.02.2018";"08:45";"3,72";"2,92";
"07.02.2018";"09:00";"4,02";"4,12";
"07.02.2018";"09:15";"4,73";"4,18";
"07.02.2018";"09:30";"5,51";"4,72";
"07.02.2018";"09:45";"5,75";"5,05";
"07.02.2018";"10:00";"6,07";"4,74";
"07.02.2018";"10:15";"5,88";"5,11";
"07.02.2018";"10:30";"5,94";"4,88";
"07.02.2018";"10:45";"6,16";"5,43";
"07.02.2018";"11:00";"6,1";"5,06";
"07.02.2018";"11:15";"6,08";"5,43";
"07.02.2018";"11:30";"5,93";"5,01";
"07.02.2018";"11:45";"5,96";"5,29";
"07.02.2018";"12:00";"6,37";"5,34";
"07.02.2018";"12:15";"6,42";"5,85";
"07.02.2018";"12:30";"6,64";"5,85";
"07.02.2018";"12:45";"6,66";"6,05";
"07.02.2018";"13:00";"6,63";"5,58";
"07.02.2018";"13:15";"6,26";"5,27";
"07.02.2018";"13:30";"6,09";"5,4";
"07.02.2018";"13:45";"6,1";"5,36";
"07.02.2018";"14:00";"5,78";"4,68";
"07.02.2018";"14:15";"5,72";"4,67";
"07.02.2018";"14:30";"5,83";"5,17";
"07.02.2018";"14:45";"5,79";"5,09";
"07.02.2018";"15:00";"5,65";"4,99";
"07.02.2018";"15:15";"5,62";"4,98";
"07.02.2018";"15:30";"5,61";"4,76";
